EMISION,Mean,Min,Max,Grupo
2023-04-18,1.7714285714285714,1.0,12.0,6
2023-04-19,1.6376811594202898,1.0,10.0,6
2023-04-20,1.7857142857142858,1.0,6.0,6
2023-04-21,2.0919540229885056,1.0,10.0,6
2023-04-22,1.6896551724137931,1.0,5.0,6
2023-04-23,0.0,0.0,0.0,6
2023-04-24,1.9259259259259258,1.0,30.0,6
2023-04-25,1.6176470588235294,1.0,4.0,6
2023-04-26,1.6597938144329898,1.0,10.0,6
2023-04-27,1.7037037037037037,1.0,6.0,6
2023-04-28,1.7,1.0,5.0,6
2023-04-29,1.8,1.0,4.0,6
2023-04-30,0.0,0.0,0.0,6
2023-05-01,0.0,0.0,0.0,6
2023-05-02,1.7534246575342465,1.0,7.0,6
2023-05-03,1.5675675675675675,1.0,4.0,6
2023-05-04,1.6329113924050633,1.0,7.0,6
2023-05-05,1.7096774193548387,1.0,10.0,6
2023-05-06,1.9411764705882353,1.0,4.0,6
2023-05-07,0.0,0.0,0.0,6
2023-05-08,1.88135593220339,1.0,7.0,6
2023-05-09,1.676923076923077,1.0,8.0,6
2023-05-10,1.588235294117647,1.0,5.0,6
2023-05-11,1.5,1.0,4.0,6
2023-05-12,1.8533333333333333,1.0,7.0,6
2023-05-13,1.84,1.0,5.0,6
2023-05-14,0.0,0.0,0.0,6
2023-05-15,1.7611940298507462,1.0,8.0,6
2023-05-16,1.641025641025641,1.0,10.0,6
2023-05-17,1.5797101449275361,1.0,6.0,6
2023-05-18,1.6493506493506493,1.0,6.0,6
2023-05-19,1.5542168674698795,1.0,6.0,6
2023-05-20,1.8857142857142857,1.0,7.0,6
2023-05-21,0.0,0.0,0.0,6
2023-05-22,1.4745762711864407,1.0,4.0,6
2023-05-23,1.5396825396825398,1.0,8.0,6
2023-05-24,1.6493506493506493,1.0,4.0,6
2023-05-25,1.703125,1.0,5.0,6
2023-05-26,0.0,0.0,0.0,6
2023-05-27,1.75,1.0,4.0,6
2023-05-28,0.0,0.0,0.0,6
2023-05-29,1.5593220338983051,1.0,5.0,6
2023-05-30,2.7051282051282053,1.0,34.0,6
2023-05-31,1.7976190476190477,1.0,7.0,6
2023-06-01,1.5643564356435644,1.0,8.0,6
2023-06-02,1.5945945945945945,1.0,7.0,6
2023-06-03,2.1481481481481484,1.0,6.0,6
2023-06-04,0.0,0.0,0.0,6
2023-06-05,1.7352941176470589,1.0,8.0,6
2023-06-06,2.1066666666666665,1.0,40.0,6
2023-06-07,1.9444444444444444,1.0,8.0,6
2023-06-08,1.5853658536585367,1.0,8.0,6
2023-06-09,1.7901234567901234,1.0,6.0,6
2023-06-10,1.9310344827586208,1.0,10.0,6
2023-06-11,0.0,0.0,0.0,6
2023-06-12,1.703125,1.0,4.0,6
2023-06-13,1.8,1.0,6.0,6
2023-06-14,1.875,1.0,10.0,6
2023-06-15,1.9125,1.0,6.0,6
2023-06-16,1.6666666666666667,1.0,7.0,6
2023-06-17,2.0,1.0,6.0,6
2023-06-18,0.0,0.0,0.0,6
2023-06-19,1.8024691358024691,1.0,10.0,6
2023-06-20,2.388888888888889,1.0,40.0,6
2023-06-21,1.6363636363636365,1.0,8.0,6
2023-06-22,1.7733333333333334,1.0,5.0,6
2023-06-23,1.6346153846153846,1.0,6.0,6
2023-06-24,1.9722222222222223,1.0,8.0,6
2023-06-25,0.0,0.0,0.0,6
2023-06-26,1.6133333333333333,1.0,7.0,6
2023-06-27,1.7285714285714286,1.0,5.0,6
2023-06-28,1.6764705882352942,1.0,6.0,6
2023-06-29,2.0125,1.0,6.0,6
2023-06-30,1.617283950617284,1.0,6.0,6
2023-07-01,1.92,1.0,4.0,6
2023-07-02,0.0,0.0,0.0,6
2023-07-03,1.6851851851851851,1.0,7.0,6
2023-07-04,1.4743589743589745,1.0,5.0,6
2023-07-05,1.9491525423728813,1.0,8.0,6
2023-07-06,1.635135135135135,1.0,5.0,6
2023-07-07,1.8666666666666667,1.0,6.0,6
2023-07-08,1.9333333333333333,1.0,4.0,6
2023-07-09,0.0,0.0,0.0,6
2023-07-10,2.015873015873016,1.0,7.0,6
2023-07-11,1.7837837837837838,1.0,6.0,6
2023-07-12,1.6142857142857143,1.0,5.0,6
2023-07-13,1.7790697674418605,1.0,8.0,6
2023-07-14,1.7162162162162162,1.0,7.0,6
2023-07-15,1.6944444444444444,1.0,6.0,6
2023-07-16,0.0,0.0,0.0,6
2023-07-17,1.532258064516129,1.0,6.0,6
2023-07-18,1.8405797101449275,1.0,5.0,6
2023-07-19,1.6395348837209303,1.0,5.0,6
2023-07-20,1.7702702702702702,1.0,13.0,6
2023-07-21,1.620253164556962,1.0,4.0,6
2023-07-22,1.68,1.0,5.0,6
2023-07-23,0.0,0.0,0.0,6
2023-07-24,1.469387755102041,1.0,4.0,6
2023-07-25,2.0327868852459017,1.0,6.0,6
2023-07-26,1.8,1.0,9.0,6
2023-07-27,1.6567164179104477,1.0,6.0,6
2023-07-28,1.796875,1.0,4.0,6
2023-07-29,1.5333333333333334,1.0,4.0,6
2023-07-30,0.0,0.0,0.0,6
2023-07-31,1.6491228070175439,1.0,4.0,6
2023-08-01,1.7714285714285714,1.0,4.0,6
2023-08-02,1.847457627118644,1.0,12.0,6
2023-08-03,1.7162162162162162,1.0,6.0,6
2023-08-04,1.7972972972972974,1.0,8.0,6
2023-08-05,1.71875,1.0,4.0,6
2023-08-06,0.0,0.0,0.0,6
2023-08-07,1.576271186440678,1.0,6.0,6
2023-08-08,1.7164179104477613,1.0,6.0,6
2023-08-09,1.8245614035087718,1.0,6.0,6
2023-08-10,1.4605263157894737,1.0,4.0,6
2023-08-11,0.0,0.0,0.0,6
2023-08-12,2.0625,1.0,6.0,6
2023-08-13,0.0,0.0,0.0,6
2023-08-14,1.7457627118644068,1.0,6.0,6
2023-08-15,1.8450704225352113,1.0,5.0,6
2023-08-16,1.894736842105263,1.0,4.0,6
2023-08-17,1.5609756097560976,1.0,5.0,6
2023-08-18,1.9240506329113924,1.0,8.0,6
2023-08-19,1.5483870967741935,1.0,4.0,6
2023-08-20,0.0,0.0,0.0,6
2023-08-21,1.5862068965517242,1.0,4.0,6
2023-08-22,1.6956521739130435,1.0,7.0,6
2023-08-23,2.1538461538461537,1.0,8.0,6
2023-08-24,1.8409090909090908,1.0,8.0,6
2023-08-25,1.671641791044776,1.0,8.0,6
2023-08-26,1.6129032258064515,1.0,4.0,6
2023-08-27,0.0,0.0,0.0,6
2023-08-28,1.8245614035087718,1.0,6.0,6
2023-08-29,1.7272727272727273,1.0,4.0,6
2023-08-30,1.9130434782608696,1.0,8.0,6
2023-08-31,1.8225806451612903,1.0,5.0,6
2023-09-01,1.8266666666666667,1.0,8.0,6
2023-09-02,1.7380952380952381,1.0,5.0,6
2023-09-03,0.0,0.0,0.0,6
2023-09-04,1.4375,1.0,4.0,6
2023-09-05,1.5714285714285714,1.0,5.0,6
2023-09-06,1.7258064516129032,1.0,5.0,6
2023-09-07,1.72,1.0,6.0,6
2023-09-08,1.4880952380952381,1.0,4.0,6
2023-09-09,1.3142857142857143,1.0,4.0,6
2023-09-10,0.0,0.0,0.0,6
2023-09-11,1.7234042553191489,1.0,5.0,6
2023-09-12,1.5901639344262295,1.0,4.0,6
2023-09-13,1.7272727272727273,1.0,5.0,6
2023-09-14,1.6666666666666667,1.0,6.0,6
2023-09-15,1.6274509803921569,1.0,8.0,6
2023-09-16,1.5384615384615385,1.0,5.0,6
2023-09-17,0.0,0.0,0.0,6
2023-09-18,1.9074074074074074,1.0,5.0,6
2023-09-19,1.518987341772152,1.0,5.0,6
2023-09-20,1.6031746031746033,1.0,4.0,6
2023-09-21,1.7586206896551724,1.0,8.0,6
2023-09-22,1.8805970149253732,1.0,7.0,6
2023-09-23,1.75,1.0,5.0,6
2023-09-24,0.0,0.0,0.0,6
2023-09-25,1.671875,1.0,6.0,6
2023-09-26,1.643835616438356,1.0,6.0,6
2023-09-27,1.6956521739130435,1.0,6.0,6
2023-09-28,1.6363636363636365,1.0,9.0,6
2023-09-29,2.0253164556962027,1.0,12.0,6
2023-09-30,1.8,1.0,8.0,6
2023-10-01,0.0,0.0,0.0,6
2023-10-02,1.53125,1.0,4.0,6
2023-10-03,1.5294117647058822,1.0,4.0,6
2023-10-04,1.705128205128205,1.0,5.0,6
2023-10-05,1.6764705882352942,1.0,5.0,6
2023-10-06,1.6307692307692307,1.0,8.0,6
2023-10-07,1.368421052631579,1.0,3.0,6
2023-10-08,0.0,0.0,0.0,6
2023-10-09,0.0,0.0,0.0,6
2023-10-10,1.3478260869565217,1.0,3.0,6
2023-10-11,1.8421052631578947,1.0,12.0,6
2023-10-12,1.5694444444444444,1.0,9.0,6
2023-10-13,1.917808219178082,1.0,8.0,6
2023-10-14,1.4838709677419355,1.0,3.0,6
2023-10-15,0.0,0.0,0.0,6
2023-10-16,1.5,1.0,5.0,6
2023-10-17,1.6938775510204083,1.0,9.0,6
2023-10-18,1.55,1.0,6.0,6
2023-10-19,1.5822784810126582,1.0,4.0,6
2023-10-20,1.8058252427184467,1.0,7.0,6
2023-10-21,1.84,1.0,6.0,6
2023-10-22,0.0,0.0,0.0,6
2023-10-23,1.5873015873015872,1.0,8.0,6
2023-10-24,1.5735294117647058,1.0,6.0,6
2023-10-25,1.7017543859649122,1.0,8.0,6
2023-10-26,1.690909090909091,1.0,4.0,6
2023-10-27,1.8604651162790697,1.0,17.0,6
2023-10-28,1.9166666666666667,1.0,7.0,6
2023-10-29,0.0,0.0,0.0,6
2023-10-30,1.75,1.0,19.0,6
2023-10-31,1.9841269841269842,1.0,11.0,6
2023-11-01,1.7857142857142858,1.0,10.0,6
2023-11-02,2.1176470588235294,1.0,8.0,6
2023-11-03,0.0,0.0,0.0,6
2023-11-04,0.0,0.0,0.0,6
2023-11-05,0.0,0.0,0.0,6
2023-11-06,1.5737704918032787,1.0,9.0,6
2023-11-07,1.7424242424242424,1.0,4.0,6
2023-11-08,1.9761904761904763,1.0,8.0,6
2023-11-09,1.9565217391304348,1.0,17.0,6
2023-11-10,1.6071428571428572,1.0,4.0,6
2023-11-11,1.4761904761904763,1.0,3.0,6
2023-11-12,0.0,0.0,0.0,6
2023-11-13,1.576271186440678,1.0,5.0,6
2023-11-14,1.7142857142857142,1.0,6.0,6
2023-11-15,1.6507936507936507,1.0,8.0,6
2023-11-16,1.5151515151515151,1.0,5.0,6
2023-11-17,1.775,1.0,9.0,6
2023-11-18,1.7586206896551724,1.0,6.0,6
2023-11-19,0.0,0.0,0.0,6
2023-11-20,1.92,1.0,6.0,6
2023-11-21,1.7945205479452055,1.0,8.0,6
2023-11-22,1.4230769230769231,1.0,4.0,6
2023-11-23,2.0,1.0,9.0,6
2023-11-24,1.671641791044776,1.0,6.0,6
2023-11-25,1.8148148148148149,1.0,7.0,6
2023-11-26,0.0,0.0,0.0,6
2023-11-27,1.6774193548387097,1.0,6.0,6
2023-11-28,1.893939393939394,1.0,9.0,6
2023-11-29,1.5964912280701755,1.0,4.0,6
2023-11-30,1.8133333333333332,1.0,10.0,6
2023-12-01,1.7727272727272727,1.0,6.0,6
2023-12-02,1.4848484848484849,1.0,6.0,6
2023-12-03,0.0,0.0,0.0,6
2023-12-04,1.507936507936508,1.0,5.0,6
2023-12-05,1.8823529411764706,1.0,10.0,6
2023-12-06,1.7088607594936709,1.0,5.0,6
2023-12-07,1.5555555555555556,1.0,7.0,6
2023-12-08,0.0,0.0,0.0,6
2023-12-09,1.7727272727272727,1.0,6.0,6
2023-12-10,0.0,0.0,0.0,6
2023-12-11,1.6349206349206349,1.0,10.0,6
2023-12-12,1.691358024691358,1.0,6.0,6
2023-12-13,2.0454545454545454,1.0,15.0,6
2023-12-14,1.7325581395348837,1.0,8.0,6
2023-12-15,2.073529411764706,1.0,23.0,6
2023-12-16,1.8571428571428572,1.0,7.0,6
2023-12-17,0.0,0.0,0.0,6
2023-12-18,2.6885245901639343,1.0,30.0,6
